=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-7-8_22-45-2
====================================================================================
22:45:2 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6666.981445, 314.314392, 7915.732910>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6666.150391, 313.814697, 7910.216797>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6665.265137, 313.272797, 7904.390137>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6664.284180, 312.656769, 7897.936035>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6663.275879, 312.018219, 7891.299316>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6662.363770, 311.459930, 7885.316406>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6661.594238, 311.002228, 7880.258789>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6660.932617, 310.605499, 7875.900879>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6660.368652, 310.289001, 7872.201172>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6659.494141, 309.801575, 7866.471191>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6658.063965, 309.036346, 7857.188477>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6657.500977, 308.745758, 7853.543945>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6656.912109, 308.433990, 7849.725586>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6656.407715, 308.162750, 7846.449219>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6656.020020, 307.961517, 7843.948730>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6656.019043, 307.962891, 7843.963867>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6656.016602, 307.963531, 7843.970703>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6656.014648, 307.965057, 7843.987793>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6656.011719, 307.966431, 7844.003418>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6655.704590, 307.813629, 7842.028809>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6655.046387, 307.463989, 7837.755859>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6654.406738, 307.110107, 7833.601563>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6653.574707, 306.639221, 7828.178711>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6652.590820, 306.062195, 7821.788574>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6651.552734, 305.487427, 7815.078125>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6652.355957, 306.353485, 7820.583008>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6652.339355, 306.580017, 7820.635742>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6652.325684, 306.705078, 7820.659180>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6652.316895, 306.760468, 7820.666504>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6652.304688, 306.822357, 7820.663086>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6652.288574, 306.879913, 7820.623535>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6652.269531, 306.954651, 7820.573730>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6652.201660, 307.132355, 7820.258301>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6645.885254, 302.215942, 7778.595703>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6644.376465, 301.200684, 7768.755859>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6642.686523, 300.076385, 7757.855469>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6641.453125, 299.268463, 7750.153320>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6640.690918, 298.799530, 7745.505371>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.883789, 298.294220, 7740.601074>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.221191, 297.931946, 7736.951172>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.340820, 298.234161, 7739.987793>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.593750, 298.648560, 7743.940918>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.770996, 298.984039, 7747.215820>)
23:3:33 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6640.098145, 299.293701, 7750.239746>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6642.691406, 300.545166, 7762.364746>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6644.107422, 300.949005, 7766.366211>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6643.608887, 300.388214, 7761.042480>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6642.534668, 299.772705, 7755.115723>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6641.705566, 299.127502, 7748.826660>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6640.669434, 298.376068, 7741.437500>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.808105, 297.786743, 7735.549805>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.082520, 297.343414, 7731.118164>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.325684, 297.788269, 7735.539551>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.413086, 298.058960, 7738.218750>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.432129, 298.210144, 7739.752441>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.421387, 298.363281, 7741.221191>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.574707, 298.408142, 7741.658691>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.674805, 298.375397, 7741.355469>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.541016, 298.296417, 7740.595703>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6639.207031, 298.187775, 7739.507813>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6637.463867, 297.544556, 7733.038086>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6634.978027, 296.641815, 7724.073242>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6632.306641, 295.750824, 7714.916504>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6630.454590, 295.078583, 7707.866211>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6629.955566, 295.227264, 7709.615723>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6629.826172, 295.498047, 7712.455566>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6629.728516, 295.819458, 7715.763184>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6629.625977, 296.237701, 7720.065430>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6629.558594, 296.269501, 7720.395508>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6629.505859, 296.295868, 7720.669434>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6629.437500, 296.332794, 7721.053223>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6629.358887, 296.380005, 7721.542480>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6628.956543, 296.310822, 7720.853027>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6626.449219, 295.613312, 7713.824219>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6624.525391, 295.096924, 7708.088867>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6622.644531, 294.588898, 7702.361816>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6621.179199, 294.231506, 7697.894043>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6620.988281, 294.407379, 7700.092773>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6620.799805, 294.583405, 7702.292969>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6620.684570, 294.753204, 7704.294922>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6620.615723, 294.907990, 7706.057129>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6620.729980, 295.024139, 7707.374023>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6620.991211, 295.073212, 7707.923340>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6621.251953, 295.121124, 7708.459961>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6621.511230, 295.167847, 7708.983398>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6621.024902, 295.016663, 7707.279785>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6619.857422, 294.690674, 7703.562988>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6618.809570, 294.401062, 7700.013672>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6617.796387, 294.119812, 7696.498047>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6616.975098, 293.969849, 7694.596191>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6616.502930, 294.023926, 7695.299805>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6616.045410, 294.082001, 7696.025391>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6615.590820, 294.140381, 7696.754883>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6615.075195, 294.207550, 7697.594727>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6615.076172, 294.240112, 7698.002441>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6615.193359, 294.266602, 7698.332520>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6615.335449, 294.297607, 7698.719727>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6615.472656, 294.326416, 7699.081055>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6614.597656, 294.132080, 7696.671875>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6613.647461, 293.923645, 7694.001953>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6612.632813, 293.703979, 7691.077148>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6611.755371, 293.514374, 7688.513672>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6611.403320, 293.551361, 7689.018066>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6611.140625, 293.621674, 7689.977051>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6610.941895, 293.677002, 7690.731445>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6610.694336, 293.748840, 7691.711426>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6610.425293, 293.685699, 7690.850586>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6610.161133, 293.617249, 7689.916992>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6609.900391, 293.549164, 7688.988770>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6609.722656, 293.500336, 7688.322754>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6609.824219, 293.512421, 7688.487793>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6609.916504, 293.523102, 7688.633301>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6610.021484, 293.535004, 7688.795410>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6609.963379, 293.532104, 7688.755859>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6609.368652, 293.481903, 7688.071289>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6608.772949, 293.432159, 7687.386719>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6608.250000, 293.390656, 7686.787598>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6607.836426, 293.354248, 7686.279785>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6607.643066, 293.330444, 7685.946777>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6607.440918, 293.305878, 7685.601563>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6607.254395, 293.283508, 7685.284668>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6607.163574, 293.269196, 7685.083008>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6607.205078, 293.267365, 7685.056152>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6607.233887, 293.264008, 7685.009277>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6607.249023, 293.260071, 7684.953613>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6606.980469, 293.236572, 7684.620117>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6606.539551, 293.201263, 7684.121094>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6606.044922, 293.161652, 7683.561035>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6605.604492, 293.126434, 7683.062988>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6605.215332, 293.090057, 7682.547852>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6604.994629, 293.065552, 7682.217285>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6604.703613, 293.032013, 7681.783691>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6604.444336, 293.002197, 7681.398438>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6604.015137, 292.955597, 7680.796875>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6603.580078, 292.909058, 7680.197266>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6603.100098, 292.859619, 7679.536133>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6602.624023, 292.811401, 7678.881348>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6602.524414, 292.801331, 7678.744141>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6602.468262, 292.795563, 7678.665527>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6602.417480, 292.790405, 7678.595703>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6602.361328, 292.784637, 7678.517578>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6601.975098, 292.744568, 7677.968750>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6601.541504, 292.703491, 7677.353027>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6601.108398, 292.662415, 7676.736816>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6600.734375, 292.626953, 7676.205566>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6600.653320, 292.620483, 7676.107422>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6600.581055, 292.614624, 7676.020020>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6600.500000, 292.608093, 7675.921875>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6600.436035, 292.602966, 7675.844727>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6599.891602, 292.551605, 7675.074219>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6599.344238, 292.499908, 7674.298340>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6598.796387, 292.448212, 7673.523438>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6598.394531, 292.410400, 7672.956055>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6598.292969, 292.401733, 7672.826172>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6598.242188, 292.397461, 7672.761719>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6598.166016, 292.390991, 7672.665039>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6597.840332, 292.360687, 7672.209961>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6597.240234, 292.304047, 7671.360840>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6596.641602, 292.247498, 7670.512207>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6596.041992, 292.190979, 7669.664551>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6595.453125, 292.133850, 7668.835938>)
23:3:34 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6594.993164, 292.087769, 7668.189453>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6594.533691, 292.041718, 7667.542480>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6594.016113, 291.989868, 7666.815430>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6593.684570, 291.956970, 7666.353027>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6593.278320, 291.916626, 7665.786133>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6592.953125, 291.884369, 7665.333984>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6592.543945, 291.844269, 7664.762207>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6591.875977, 291.781433, 7663.821777>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6591.283203, 291.725769, 7662.986816>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6590.615723, 291.663055, 7662.046875>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6590.056152, 291.610657, 7661.260254>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6589.540039, 291.562714, 7660.541016>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6588.993164, 291.505371, 7659.778809>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6588.504883, 291.453766, 7659.098145>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6587.920410, 291.392029, 7658.284180>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6587.355957, 291.332458, 7657.498047>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6586.811035, 291.279022, 7656.740234>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6586.265625, 291.225525, 7655.981445>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6585.626953, 291.162811, 7655.092773>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6584.944824, 291.096466, 7654.143555>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6584.361816, 291.044769, 7653.333008>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6583.634277, 290.980164, 7652.320801>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6583.375488, 290.957275, 7651.961914>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6583.322754, 290.952820, 7651.892090>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6583.254883, 290.947083, 7651.801758>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6583.194336, 290.942047, 7651.722168>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6582.587891, 290.888702, 7650.886230>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6581.339355, 290.783478, 7649.165039>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6579.955078, 290.671204, 7647.256836>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6578.691895, 290.561371, 7645.515625>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6577.913086, 290.494141, 7644.448242>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6577.848633, 290.489410, 7644.372559>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6577.775391, 290.484009, 7644.287109>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6577.709473, 290.479218, 7644.211426>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6577.490234, 290.462738, 7643.948730>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6577.155273, 290.438385, 7643.546875>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6576.818848, 290.413818, 7643.143555>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6576.512695, 290.389679, 7642.775879>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6575.399414, 290.296021, 7641.325195>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6573.857910, 290.166046, 7639.303711>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6572.701172, 290.084717, 7637.789063>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6571.568848, 290.010223, 7636.305664>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6571.274902, 289.998322, 7636.050293>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6571.088867, 289.993347, 7635.933105>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6570.880859, 289.987885, 7635.803711>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6570.694336, 289.982971, 7635.688477>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6570.138672, 289.955872, 7635.125000>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6569.505859, 289.923523, 7634.481934>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6568.943359, 289.894501, 7633.909668>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6568.614746, 289.928253, 7633.604980>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6568.659668, 290.197815, 7633.685547>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6568.611328, 290.411133, 7633.599121>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6568.493652, 290.599548, 7633.388184>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6563.915527, 289.643616, 7628.483887>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6563.221680, 289.625854, 7627.977539>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6562.573242, 289.611237, 7627.541992>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6561.929688, 289.597168, 7627.112305>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6561.426270, 289.586823, 7626.787109>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6561.407715, 289.592804, 7626.892578>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6561.395020, 289.597626, 7626.978027>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6561.383301, 289.602539, 7627.064453>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6561.104004, 289.597839, 7626.903320>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6559.594238, 289.549866, 7625.620605>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6557.921875, 289.497131, 7624.197754>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6556.601074, 289.458252, 7623.071777>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6555.812500, 289.437561, 7622.449219>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6555.789063, 289.443176, 7622.545410>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6555.769043, 289.447937, 7622.629883>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6555.750000, 289.452698, 7622.712891>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6554.689941, 289.434753, 7622.074219>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6553.486328, 289.412109, 7621.334961>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6552.448242, 289.398773, 7620.700684>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6551.180664, 289.381195, 7619.892578>)
23:3:35 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<6550.176270, 289.361359, 7619.094238>)
