=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-7-9_23-10-0
====================================================================================
23:10:0 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:20:16 | "Joseph" (steamid=76561199227453916) Spawned Item: (MoneyRuble)
23:20:16 | "Joseph" (steamid=76561199227453916) Spawned Item: (MoneyRuble)
23:20:17 | "Joseph" (steamid=76561199227453916) Spawned Item: (MoneyRuble)
23:20:38 | "Joseph" (steamid=76561199227453916) Spawned Item: (MoneyRuble)
23:20:38 | "Joseph" (steamid=76561199227453916) Spawned Item: (MoneyRuble)
23:20:39 | "Joseph" (steamid=76561199227453916) Spawned Item: (MoneyRuble)
23:20:39 | "Joseph" (steamid=76561199227453916) Spawned Item: (MoneyRuble)
23:20:52 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8064.401367, 458.850006, 9332.677734>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.849609, 458.850006, 9335.047852>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.849609, 458.850006, 9335.048828>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.849121, 458.850006, 9335.048828>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.848633, 458.850006, 9335.048828>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.848633, 458.850006, 9335.048828>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.848145, 458.850006, 9335.048828>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.837402, 458.850006, 9335.094727>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.688477, 458.850006, 9335.735352>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.539063, 458.850006, 9336.375977>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.422852, 458.850006, 9336.874023>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.295898, 458.850006, 9337.419922>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.295898, 458.850006, 9337.418945>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.295898, 458.850006, 9337.419922>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.295898, 458.850006, 9337.419922>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.295898, 458.850006, 9337.419922>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.295410, 458.850006, 9337.422852>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.293945, 458.850006, 9337.427734>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.292480, 458.850006, 9337.432617>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.291016, 458.850006, 9337.437500>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.206055, 458.825226, 9337.804688>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8063.058105, 458.773010, 9338.445313>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8062.928223, 458.727661, 9339.003906>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8062.817871, 458.688599, 9339.485352>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8062.675293, 458.638550, 9340.100586>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8062.675293, 458.638458, 9340.100586>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8062.675293, 458.638428, 9340.101563>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8062.675781, 458.638611, 9340.099609>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8062.675781, 458.638672, 9340.099609>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8062.646484, 458.628052, 9340.227539>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8062.595215, 458.610107, 9340.448242>)
23:20:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8062.543945, 458.592010, 9340.670898>)
23:22:30 | Player "Joseph" (steamId=76561199227453916) disconnected from server.
