=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-7-9_19-7-43
====================================================================================
19:7:43 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
19:7:43 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
19:7:43 | [PermissionManager] Perm (MenuBansManager) has been registered!
19:7:43 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
19:7:43 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
19:7:43 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
19:7:43 | [PermissionManager] Perm (MenuWebHooks) has been registered!
19:7:43 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
19:7:43 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
19:7:43 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
19:7:43 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
19:7:43 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
19:7:43 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
19:7:43 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
19:7:43 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
19:7:43 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
19:7:43 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
19:7:43 | [PermissionManager] Perm (EspToolsMenu) has been registered!
19:7:43 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
19:7:43 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
19:7:43 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
19:7:43 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
19:7:43 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
19:7:43 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
19:7:43 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
19:7:43 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
19:7:43 | [PermissionManager] Adding Super Admin (76561199227453916)
19:7:43 | [PermissionManager] Loaded UserGroups.json
19:7:43 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
19:7:43 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
19:7:43 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
19:7:43 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
19:7:43 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
19:7:43 | Building Sets Loaded: 0
19:13:56 | Player "Joseph" (steamId=76561199227453916) connected to server!
19:14:23 | Player "Joseph" (steamId=76561199227453916) connected to server!
19:15:38 | "Joseph" (steamid=76561199227453916) Spawned Item: (TF_CamelBakBag_Tan)
19:15:38 | "Joseph" (steamid=76561199227453916) Spawned Item: (TF_CamelBakBag_Tan)
19:16:51 | "Joseph": (steamid=76561199227453916) teleported to (pos=12941.7,0,10176.6)
19:17:37 | "Joseph" (steamid=76561199227453916) Spawned Item: (TF_FannyPack_Coyote)
19:17:50 | "Joseph" (steamid=76561199227453916) Spawned Item: (TF_6B23_112Vest_GFlora_Syrian)
19:19:7 | "Joseph" (steamid=76561199227453916) Spawned Item: (TF_6sh122Pants_Autumn)
19:19:24 | "Joseph" (steamid=76561199227453916) /heal used on: "Joseph" (steamid=76561199227453916)
19:19:48 | "Joseph" (steamid=76561199227453916) Spawned Item: (TF_6sh122Jacket_Autumn)
19:20:37 | "Joseph" (steamid=76561199227453916) Spawned Item: (CJ_Key2)
19:20:37 | "Joseph" (steamid=76561199227453916) Spawned Item: (CJ_Key2)
19:20:38 | "Joseph" (steamid=76561199227453916) Spawned Item: (CJ_Key3)
19:20:39 | "Joseph" (steamid=76561199227453916) Spawned Item: (CJ_Key4)
19:21:23 | "Joseph": (steamid=76561199227453916) teleported to (pos=12778,0,10063.8)
19:22:45 | "Joseph": (steamid=76561199227453916) teleported to (pos=12062.6,0,9054.01)
19:23:49 | "Joseph": (steamid=76561199227453916) teleported to (pos=11933.7,0,9070.38)
19:26:50 | "Joseph" (steamid=76561199227453916) Spawned Item: (Ammo_12gaPellets)
19:26:50 | "Joseph" (steamid=76561199227453916) Spawned Item: (Ammo_12gaPellets)
19:26:50 | "Joseph" (steamid=76561199227453916) Spawned Item: (Ammo_12gaPellets)
19:26:50 | "Joseph" (steamid=76561199227453916) Spawned Item: (Ammo_12gaPellets)
19:26:51 | "Joseph" (steamid=76561199227453916) Spawned Item: (Ammo_12gaPellets)
19:29:41 | "Joseph" (steamid=76561199227453916) Spawned Item: (Mag_Expansion_Vityaz_30Rnd)
19:29:42 | "Joseph" (steamid=76561199227453916) Spawned Item: (Mag_Expansion_Vityaz_30Rnd)
19:29:42 | "Joseph" (steamid=76561199227453916) Spawned Item: (Mag_Expansion_Vityaz_30Rnd)
19:32:0 | "Joseph": (steamid=76561199227453916) teleported to (pos=8078.48,0,9345.76)
19:33:58 | Player "Joseph" (steamId=76561199227453916) disconnected from server.
